region_id,estimation_id,level_name,traffic,read_traffic,write_traffic,bandwidth,read_bandwidth,write_bandwidth,bandwidth_utilization,read_bandwidth_utilization,write_bandwidth_utilization,traffic_defined_time,traffic_defined_read_time,traffic_defined_write_time,bytes_ck,read_bytes_ck,write_bytes_ck
27,0,l3,33717248.0,16866880.0,16850368.0,58030184524.290985,29029301523.92844,29000883000.362545,0.20607309845273786,0.10308700825258678,0.10298609020015108,0.00011973454545454545,5.989659090909091e-05,5.9837954545454543e-05,52.7547132039009,26.39027411266222,26.36443909123868
27,0,gti,30618966.000000004,16871424.000000004,13747542.0,52697783844.132,29037122125.374874,23660661718.757126,0.37427403298389206,0.41245912109907495,0.3360889448687092,0.00023965090909090916,0.00023965090909090916,0.00019527758522727272,47.90707622193818,26.397383750340794,21.50969247159739
27,0,llc,30618966.000000004,16871424.000000004,13747542.0,52697783844.132,29037122125.374874,23660661718.757126,0.37427403298389206,0.41245912109907495,0.3360889448687092,0.00023965090909090916,0.00023965090909090916,0.00019527758522727272,47.90707622193818,26.397383750340794,21.50969247159739
27,0,dram,25965226.0,17484458.0,8480768.0,44688310742.1732,30092204560.918365,14596106181.254835,0.931006473795275,0.626920928352466,0.304085545442809,0.0005409422083333333,0.0003642595416666667,0.00017668266666666667,40.625737038339274,27.35654960083488,13.269187437504396
7,0,l3,33717248.0,16866880.0,16850368.0,58030184524.290985,29029301523.92844,29000883000.362545,0.20607309845273786,0.10308700825258678,0.10298609020015108,0.00011973454545454545,5.989659090909091e-05,5.9837954545454543e-05,52.7547132039009,26.39027411266222,26.36443909123868
7,0,gti,30618966.000000004,16871424.000000004,13747542.0,52697783844.132,29037122125.374874,23660661718.757126,0.37427403298389206,0.41245912109907495,0.3360889448687092,0.00023965090909090916,0.00023965090909090916,0.00019527758522727272,47.90707622193818,26.397383750340794,21.50969247159739
7,0,llc,30618966.000000004,16871424.000000004,13747542.0,52697783844.132,29037122125.374874,23660661718.757126,0.37427403298389206,0.41245912109907495,0.3360889448687092,0.00023965090909090916,0.00023965090909090916,0.00019527758522727272,47.90707622193818,26.397383750340794,21.50969247159739
7,0,dram,25965226.0,17484458.0,8480768.0,44688310742.1732,30092204560.918365,14596106181.254835,0.931006473795275,0.626920928352466,0.304085545442809,0.0005409422083333333,0.0003642595416666667,0.00017668266666666667,40.625737038339274,27.35654960083488,13.269187437504396
30,0,l3,86071418624.0,86004420736.0,66997888.0,207853219022.21848,207691426328.3008,161792693.917642,0.7381151243686735,0.737540576449932,0.0005745479187416264,0.30565134454545456,0.30541342590909093,0.00023791863636363637,188.95747183838043,188.8103875711826,0.14708426719785636
30,0,gti,8655945046.000002,8644430507.000002,11514539.0,20903176341.848385,20875369968.54853,27806373.299853146,0.14846005924608227,0.29652514159870075,0.00039497689346382306,0.12279020606534094,0.12279020606534094,0.00016355879261363635,19.002887583498534,18.977609062316848,0.02527852118168468
30,0,llc,8655945046.000002,8644430507.000002,11514539.0,20903176341.848385,20875369968.54853,27806373.299853146,0.14846005924608227,0.29652514159870075,0.00039497689346382306,0.12279020606534094,0.12279020606534094,0.00016355879261363635,19.002887583498534,18.977609062316848,0.02527852118168468
30,0,dram,4430769493.999999,4419406506.999999,11362987.000000002,10699831800.106405,10672391408.587181,27440391.519224387,0.22291316250221677,0.2223414876788996,0.0005716748233171747,0.09230769779166664,0.09207096889583331,0.00023672889583333336,9.72711981827855,9.702174007806528,0.02494581047202217
20,0,l3,86071418624.0,86004420736.0,66997888.0,207853219022.21848,207691426328.3008,161792693.917642,0.7381151243686735,0.737540576449932,0.0005745479187416264,0.30565134454545456,0.30541342590909093,0.00023791863636363637,188.95747183838043,188.8103875711826,0.14708426719785636
20,0,gti,8655945046.000002,8644430507.000002,11514539.0,20903176341.848385,20875369968.54853,27806373.299853146,0.14846005924608227,0.29652514159870075,0.00039497689346382306,0.12279020606534094,0.12279020606534094,0.00016355879261363635,19.002887583498534,18.977609062316848,0.02527852118168468
20,0,llc,8655945046.000002,8644430507.000002,11514539.0,20903176341.848385,20875369968.54853,27806373.299853146,0.14846005924608227,0.29652514159870075,0.00039497689346382306,0.12279020606534094,0.12279020606534094,0.00016355879261363635,19.002887583498534,18.977609062316848,0.02527852118168468
20,0,dram,4430769493.999999,4419406506.999999,11362987.000000002,10699831800.106405,10672391408.587181,27440391.519224387,0.22291316250221677,0.2223414876788996,0.0005716748233171747,0.09230769779166664,0.09207096889583331,0.00023672889583333336,9.72711981827855,9.702174007806528,0.02494581047202217
17,0,l3,85937331968.0,85870334080.0,66997888.0,207529414168.9573,207367621475.03964,161792693.917642,0.7369652491795359,0.7363907012607943,0.0005745479187416264,0.30517518454545456,0.3049372659090909,0.00023791863636363637,188.66310378996118,188.51601952276334,0.14708426719785636
17,0,gti,8647535958.000002,8636021419.000002,11514539.0,20882869298.72323,20855062925.423374,27806373.299853146,0.1483158330875229,0.29623668928158203,0.00039497689346382306,0.12267075879261366,0.12267075879261366,0.00016355879261363635,18.984426635202933,18.95914811402125,0.02527852118168468
17,0,llc,8647535958.000002,8636021419.000002,11514539.0,20882869298.72323,20855062925.423374,27806373.299853146,0.1483158330875229,0.29623668928158203,0.00039497689346382306,0.12267075879261366,0.12267075879261366,0.00016355879261363635,18.984426635202933,18.95914811402125,0.02527852118168468
17,0,dram,4422360405.999999,4410997418.999999,11362987.000000002,10679524756.981247,10652084365.462023,27440391.519224387,0.22249009910377598,0.2219184242804588,0.0005716748233171747,0.09213250845833332,0.09189577956249997,0.00023672889583333336,9.708658869982953,9.68371305951093,0.02494581047202217
