region_id,estimation_id,data_type,operations_per_second,operations_count,arithmetic_intensity
27,0,int32,5415821576.3096,3146752.0,0.12119101139346909
27,0,int64,0.0,0,0.0
27,0,float32,0.0,0,0.0
27,0,float64,7218745583.001666,4194304.0,0.16153543204284068
7,0,int32,5414059187.25125,3145728.0,0.12115157403213052
7,0,int64,0.0,0,0.0
7,0,float32,0.0,0,0.0
7,0,float64,7218745583.001666,4194304.0,0.16153543204284068
30,0,int32,12972454189.424356,5371855872.0,1.2123979546384411
30,0,int64,0.0,0,0.0
30,0,float32,0.0,0,0.0
30,0,float64,5185942048.7106285,2147483648.0,0.48467510009447595
20,0,int32,12972451716.574488,5371854848.0,1.2123977235273438
20,0,int64,0.0,0,0.0
20,0,float32,0.0,0,0.0
20,0,float64,5185942048.7106285,2147483648.0,0.48467510009447595
17,0,int32,12964855121.776571,5368709120.0,1.2116877502361898
17,0,int64,0.0,0,0.0
17,0,float32,0.0,0,0.0
17,0,float64,5185942048.7106285,2147483648.0,0.48467510009447595
